Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date,,,,,,,,,,,,
2011-05-17,45.73940658569336,12.452465057373047,66.4000015258789,20.056926727294922,66.4800033569336,20.123340606689453,65.86000061035156,19.905122756958008,66.2300033569336,20.0,10784100,61324355
2011-05-18,45.808284759521484,12.476030349731445,66.5,20.094877243041992,66.51000213623047,20.1043643951416,65.94000244140625,19.943073272705078,66.16999816894531,20.02846336364746,9028400,47371187
2011-05-19,45.73251724243164,12.387672424316406,66.38999938964844,19.95256233215332,66.52999877929688,20.18975257873535,65.8499984741211,19.84819793701172,66.52999877929688,20.15180206298828,9685100,49121354
2011-05-20,45.25031280517578,12.187398910522461,65.69000244140625,19.629980087280273,66.33000183105469,19.96204948425293,65.27999877929688,19.620492935180664,66.25,19.8956356048584,12367000,56460988
2011-05-23,45.16077423095703,12.128493309020996,65.55999755859375,19.535104751586914,65.69000244140625,19.582542419433594,65.08000183105469,19.354839324951172,65.19000244140625,19.440227508544922,12020200,41118753
2011-05-24,45.31232452392578,12.087262153625488,65.77999877929688,19.468690872192383,66.2300033569336,19.629980087280273,65.5,19.40227699279785,65.73999786376953,19.44971466064453,11017700,45292593
2011-05-25,45.66363525390625,12.24040699005127,66.29000091552734,19.715370178222656,66.58999633789062,19.791271209716797,66.06999969482422,19.30739974975586,66.29000091552734,19.30739974975586,14767100,44282124
2011-05-26,45.5177116394043,12.311095237731934,65.51000213623047,19.829221725463867,65.77999877929688,19.905122756958008,65.27999877929688,19.525617599487305,65.58999633789062,19.573055267333984,12044100,40595126
2011-05-27,46.3931770324707,12.328766822814941,66.7699966430664,19.857685089111328,66.97000122070312,19.97153663635254,65.5999984741211,19.715370178222656,65.79000091552734,19.88614845275879,16385700,29362121
2011-05-31,46.75449752807617,12.635075569152832,67.29000091552734,20.351043701171875,67.33999633789062,20.351043701171875,66.98999786376953,19.91461181640625,67.30999755859375,19.92409896850586,16473800,58351653
2011-06-01,46.191707611083984,12.399457931518555,66.4800033569336,19.97153663635254,67.29000091552734,20.351043701171875,66.45999908447266,19.905122756958008,67.0199966430664,20.246679306030273,11003400,48653694
2011-06-02,46.191707611083984,12.369999885559082,66.4800033569336,19.92409896850586,66.76000213623047,20.04743766784668,66.27999877929688,19.791271209716797,66.44000244140625,19.95256233215332,9582900,33254649
2011-06-03,45.92070770263672,12.275750160217285,66.08999633789062,19.772296905517578,66.36000061035156,19.98102569580078,65.80000305175781,19.601518630981445,65.83999633789062,19.601518630981445,10364900,37880655
2011-06-06,45.89291763305664,12.216850280761719,66.05000305175781,19.677419662475586,66.22000122070312,19.88614845275879,65.83999633789062,19.639469146728516,65.87000274658203,19.753320693969727,8397400,29085341
2011-06-07,45.510765075683594,12.216850280761719,65.5,19.677419662475586,66.27999877929688,19.8956356048584,65.5,19.677419662475586,66.0,19.867172241210938,10426800,36542812
2011-06-08,45.95545196533203,12.181502342224121,66.13999938964844,19.620492935180664,66.2300033569336,19.800758361816406,65.18000030517578,19.516128540039062,65.48999786376953,19.800758361816406,10020300,44304468
2011-06-09,46.400146484375,12.222739219665527,66.77999877929688,19.686906814575195,67.27999877929688,19.819734573364258,66.16999816894531,19.563566207885742,66.33000183105469,19.573055267333984,14054500,36282158
2011-06-10,45.92070770263672,11.845745086669922,66.08999633789062,19.079696655273438,66.68000030517578,19.592029571533203,66.08999633789062,19.013282775878906,66.48999786376953,19.573055267333984,9312900,60554092
2011-06-13,46.26812744140625,12.05191707611084,66.58999633789062,19.41176414489746,66.95999908447266,19.563566207885742,66.26000213623047,19.051233291625977,66.31999969482422,19.051233291625977,8146200,46834068
2011-06-14,46.62248611450195,12.122604370117188,67.0999984741211,19.525617599487305,67.36000061035156,19.667932510375977,66.75,19.478178024291992,66.94999694824219,19.497154235839844,11389100,41329659
2011-06-15,45.96934509277344,11.892867088317871,66.16000366210938,19.155597686767578,67.0,19.36432647705078,65.70999908447266,19.003795623779297,67.0,19.354839324951172,12623500,44770020
2011-06-16,46.08051300048828,11.922319412231445,66.31999969482422,19.203035354614258,66.3499984741211,19.25047492980957,65.47000122070312,19.070209503173828,65.69999694824219,19.136621475219727,11683900,43589856
2011-06-17,46.05966567993164,11.934104919433594,66.29000091552734,19.22201156616211,66.94999694824219,19.383302688598633,66.19000244140625,19.022769927978516,66.62999725341797,19.32637596130371,14336400,65001445
2011-06-20,46.2125358581543,11.939998626708984,66.51000213623047,19.23149871826172,66.73999786376953,19.24098777770996,66.06999969482422,19.060720443725586,66.08000183105469,19.060720443725586,9309200,36582864
2011-06-21,46.198638916015625,12.034242630004883,66.48999786376953,19.383302688598633,66.75,19.44971466064453,66.16000366210938,19.19354820251465,66.5199966430664,19.29791259765625,9811500,49574995
2011-06-22,45.90682601928711,11.945886611938477,66.06999969482422,19.24098777770996,66.62000274658203,19.430740356445312,66.05000305175781,19.18406105041504,66.47000122070312,19.30739974975586,7988100,32152270
2011-06-23,45.628883361816406,12.163833618164062,65.66999816894531,19.592029571533203,65.73999786376953,19.88614845275879,64.69000244140625,19.440227508544922,65.54000091552734,19.84819793701172,16234800,88243620
2011-06-24,45.20503616333008,11.828075408935547,65.05999755859375,19.051233291625977,65.61000061035156,19.544591903686523,64.83000183105469,19.051233291625977,65.56999969482422,19.497154235839844,13186200,66654117
2011-06-27,45.33706283569336,11.881092071533203,65.25,19.136621475219727,65.61000061035156,19.22201156616211,65.0,19.022769927978516,65.29000091552734,19.070209503173828,7199500,36172753
2011-06-28,45.795650482177734,12.104927062988281,65.91000366210938,19.497154235839844,66.12000274658203,19.554079055786133,65.37999725341797,19.089183807373047,65.58999633789062,19.127134323120117,7724600,43239401
2011-06-29,46.07357406616211,12.175614356994629,66.30999755859375,19.611005783081055,66.58999633789062,19.667932510375977,65.93000030517578,19.42125129699707,66.2300033569336,19.582542419433594,9227000,49189653
2011-06-30,46.219486236572266,12.134382247924805,66.5199966430664,19.544591903686523,66.91000366210938,19.696395874023438,66.25,19.497154235839844,66.41999816894531,19.620492935180664,9747200,48851214
2011-07-01,46.76146697998047,12.222739219665527,67.30000305175781,19.686906814575195,67.36000061035156,19.696395874023438,66.2699966430664,19.430740356445312,66.4800033569336,19.44971466064453,9216500,32414084
2011-07-05,46.983787536621094,12.24040699005127,67.62000274658203,19.715370178222656,67.66999816894531,19.734344482421875,67.25,19.592029571533203,67.29000091552734,19.620492935180664,9773600,32902929
2011-07-06,46.935157775878906,12.24040699005127,67.55000305175781,19.715370178222656,67.75,19.876659393310547,67.37000274658203,19.677419662475586,67.62999725341797,19.715370178222656,7100400,29727754
2011-07-07,47.19223403930664,11.916431427001953,67.91999816894531,19.19354820251465,68.05000305175781,19.677419662475586,67.4000015258789,19.136621475219727,67.81999969482422,19.582542419433594,8415200,97863268
2011-07-08,46.94905090332031,11.875197410583496,67.56999969482422,19.127134323120117,67.98999786376953,19.25047492980957,67.19000244140625,19.079696655273438,67.80999755859375,19.09867286682129,7866100,44122970
2011-07-11,46.7405891418457,11.804512977600098,67.2699966430664,19.013282775878906,67.41000366210938,19.14611053466797,66.83000183105469,18.908918380737305,66.87999725341797,18.975332260131836,8918900,49530095
2011-07-12,46.5738410949707,11.780952453613281,67.02999877929688,18.975332260131836,67.68000030517578,19.165084838867188,66.83000183105469,18.946868896484375,66.9000015258789,18.984819412231445,10528700,44951519
2011-07-13,46.99073028564453,11.775059700012207,67.62999725341797,18.965843200683594,67.9800033569336,19.165084838867188,67.20999908447266,18.880455017089844,67.38999938964844,19.060720443725586,9031700,44410606
2011-07-14,47.011573791503906,11.727938652038574,67.66000366210938,18.889942169189453,67.93000030517578,18.984819412231445,67.47000122070312,18.785579681396484,67.5999984741211,18.956356048583984,9636500,37135582
2011-07-15,46.865657806396484,11.633689880371094,67.44999694824219,18.738140106201172,67.94999694824219,18.918405532836914,66.98999786376953,18.652751922607422,67.7300033569336,18.804553985595703,10245100,50284654
2011-07-18,46.615535736083984,11.568897247314453,67.08999633789062,18.63377571105957,67.3499984741211,18.66223907470703,66.55000305175781,18.50094985961914,67.16999816894531,18.56736183166504,10361000,36651480
2011-07-19,46.35844039916992,11.745610237121582,66.72000122070312,18.918405532836914,67.22000122070312,19.003795623779297,66.1500015258789,18.61480140686035,67.0999984741211,18.643264770507812,13677400,36521627
2011-07-20,46.024925231933594,11.722047805786133,66.23999786376953,18.880455017089844,66.9000015258789,18.975332260131836,66.05999755859375,18.757116317749023,66.56999969482422,18.899431228637695,8912600,37286409
2011-07-21,46.184749603271484,11.83985710144043,66.47000122070312,19.070209503173828,66.79000091552734,19.165084838867188,66.12999725341797,18.956356048583984,66.44999694824219,18.984819412231445,11394100,46844292
2011-07-22,46.35844039916992,11.822189331054688,66.72000122070312,19.041746139526367,66.79000091552734,19.136621475219727,66.48999786376953,18.946868896484375,66.69000244140625,19.060720443725586,7721000,27217020
2011-07-25,46.031890869140625,11.66903305053711,66.25,18.795066833496094,66.43000030517578,18.965843200683594,66.01000213623047,18.795066833496094,66.20999908447266,18.861480712890625,10247700,33176020
2011-07-26,45.80257797241211,11.563008308410645,65.91999816894531,18.62428855895996,66.31999969482422,18.880455017089844,65.87000274658203,18.56736183166504,66.16999816894531,18.833017349243164,10008300,40813410
2011-07-27,45.32316970825195,11.368617057800293,65.2300033569336,18.311195373535156,65.87000274658203,18.61480140686035,65.13999938964844,18.273244857788086,65.76000213623047,18.52941131591797,12810400,42527424
2011-07-28,45.21895217895508,11.403963088989258,65.08000183105469,18.368120193481445,65.62000274658203,18.61480140686035,64.77999877929688,18.263757705688477,65.2300033569336,18.263757705688477,9920400,62017992
